"i","Result.1","Result.2"
1,0.977894425690174,0.471879758469295
1,0.436402530914638,0.385530363137368
1,0.120453714716714,0.744888834059238
1,0.87729237947613,0.504963417937979
1,0.134128131875768,0.16147309351014
1,0.422830817967188,0.350019857662264
1,0.818405043403618,0.181049908455461
1,0.598726679014508,0.906876457892358
1,0.220517830916215,0.543683662398253
1,0.58224029709585,0.941733063391875
1,0.995044114266057,0.872062094602734
1,0.91658936326392,0.374408712424338
1,0.904907630956732,0.611718550871592
1,0.514387504067272,0.867340930381324
1,0.706208467620891,0.0949690375383943
1,0.766048484044149,0.990870543562341
1,0.845891841200646,0.0467284510936588
1,0.960287679205649,0.669851104461122
1,0.750321961957961,0.88752569245873
1,0.0848871554806828,0.340990837565623
1,0.332162955200765,0.829060742345173
1,0.653426710062195,0.0375940425251611
1,0.296374079533853,0.95881540995324
1,0.37488134160405,0.289826610116288
1,0.498696311556268,0.933153284504078
1,0.402490699146874,0.697143461320084
1,0.237001410590019,0.157107743232045
1,0.619190993702505,0.103285258782562
1,0.667055743522942,0.486229550286662
1,0.727902552080341,0.519006405894179
1,0.0596790652279742,0.795162512802053
1,0.0962027940363623,0.465065442814957
1,0.928918388334569,0.857118077503983
1,0.1508624124364,0.677139980769716
1,0.350518515347503,0.257037216871977
1,0.36770891074324,0.430320823807269
1,0.394207071899436,0.781891525581013
1,0.27939812868135,0.170564014841802
1,0.48916581180878,0.649988233884797
1,0.786242152375635,0.704497819992248
1,0.323328347243369,0.639730650144629
1,0.00648633136181161,0.989275875489693
1,0.938491146285087,0.599124363749288
1,0.456300505974796,0.589487086920999
1,0.954951280956157,0.84948733645957
1,0.168579112177249,0.2602911429503
1,0.686518903560936,0.113199606034905
1,0.520074340724386,0.399917879549321
1,0.0147312689688988,0.628441798433196
1,0.865299785693642,0.8372511745058
1,0.380561908860691,0.534702374995686
1,0.643053730693646,0.00174183221766725
1,0.140245748811867,0.811394763535354
1,0.347885890805628,0.207385179982521
1,0.621246534285601,0.122777045457624
1,0.696040853410959,0.191476900212001
1,0.822645987861324,0.0729785715672188
1,0.571267594445962,0.767794127329253
1,0.567598495224956,0.274151053761598
1,0.794260658405256,0.494684299384244
1,0.745246830754913,0.551353715688456
1,0.808994258090388,0.774686847818084
1,0.30826971872244,0.212955845484976
1,0.250461611906067,0.713094928327482
1,0.633780257678591,0.758027097354643
1,0.7756787130679,0.242042281944305
1,0.078443839228712,0.0171753113064915
1,0.195025555195753,0.569178667061497
1,0.891088058440946,0.975358952058013
1,0.737040476982947,0.724154932938982
1,0.312210059906356,0.92264538576128
1,0.203603572689462,0.443537549404427
1,0.266265648917761,0.0835219288943335
1,0.670070765682031,0.653335381723009
1,0.113524981227238,0.22083229273092
1,0.985187837388366,0.0210624128230847
1,0.280057106192689,0.805937423275318
1,0.600703214616515,0.967602875388693
1,0.854978144795168,0.912639285549521
1,0.539132490130141,0.138519751820713
1,0.880914980871603,0.300394116330426
1,0.550424762321636,0.331375582013279
1,0.10487322275294,0.411196717007551
1,0.410314190231729,0.403671872459818
1,0.505448861164041,0.459246609541588
1,0.449018189564813,0.609546672303695
1,0.0678951293160208,0.897630994163919
1,0.545226353267208,0.523638325876091
1,0.0341696395771578,0.313321523589548
1,0.830603207836393,0.68054240231635
1,0.211489012306556,0.429582235172857
1,0.471814962411299,0.32747477337718
1,0.464082769760862,0.0636698083020747
1,0.247336130805779,0.0547358727455139
1,0.945464318764862,0.734434066915419
1,0.0223795701772906,0.57364408806432
1,0.716361801275052,0.36294853854226
1,0.0495797145692632,0.236689226531889
1,0.189633065031376,0.294697699090466
1,0.178273339176085,0.140180990581866
2,0.0521537265530787,0.168933484277222
2,0.110343160801567,0.0848318665055558
2,0.829263201621361,0.685940848079044
2,0.54446052294923,0.233305119595025
2,0.620867741932161,0.0245713946549222
2,0.94885469353525,0.00590434074401855
2,0.0295945282932371,0.916603173706681
2,0.156599347307347,0.485960641300771
2,0.23589162295917,0.183026782548986
2,0.63120548394043,0.26826335554244
2,0.952071726182476,0.634283444159664
2,0.937047629342414,0.833116667857394
2,0.566671146415174,0.740120777194388
2,0.961011630163994,0.875431796116754
2,0.437237113581505,0.603408546457067
2,0.725079158113804,0.993450208292343
2,0.204277268848382,0.702309406304266
2,0.877149571189657,0.391162516591139
2,0.816139613778796,0.84082544926554
2,0.324050632179715,0.159703897323925
2,0.303583888963331,0.42073556041345
2,0.887609013356268,0.853001733038109
2,0.147559053627774,0.694289212638978
2,0.359707196864765,0.528042522396427
2,0.188067157242913,0.436960692603607
2,0.977526698284782,0.0511996531439945
2,0.121911365007982,0.518903546733782
2,0.0368686196557246,0.803401937659364
2,0.794330174750648,0.213652572128922
2,0.0719864203990437,0.815602540594991
2,0.718981764896307,0.535865224015433
2,0.167359661066439,0.411020620872732
2,0.694095714439172,0.961645571419504
2,0.253524904940277,0.652306592634413
2,0.330017781096976,0.767396645301487
2,0.217246304242872,0.284356176226865
2,0.642514346835669,0.0498415587493218
2,0.582443262815941,0.135464875607286
2,0.801565347271971,0.585684765316546
2,0.668533209769521,0.380832066917792
2,0.595137568698265,0.610021169818938
2,0.528042401187122,0.47852568290662
2,0.749934549133759,0.120167325360235
2,0.579321231080685,0.0908038740814663
2,0.782951791195665,0.929815922467969
2,0.505415564156137,0.190570192066953
2,0.857522518821061,0.256890840542037
2,0.415439716451801,0.116422674630303
2,0.99750835258048,0.0339303689054213
2,0.365733575213235,0.326895521583501
2,0.226612119716592,0.177351188880857
2,0.610541814931203,0.0792508297343738
2,0.452789894829039,0.270766802129801
2,0.0954238801985048,0.449744300516322
2,0.49760749714449,0.82396417634096
2,0.531745774338488,0.465001446634997
2,0.380315349914599,0.569128292063251
2,0.897778166683856,0.894223401243798
2,0.341836443745997,0.0674129410507157
2,0.106449586048257,0.547375777966808
2,0.658118591939565,0.869925616637338
2,0.48554087535711,0.359713945535477
2,0.445617003692314,0.930700997931417
2,0.390400248656515,0.295002777464688
2,0.424478246520739,0.373775457572192
2,0.607287101557013,0.407581165141892
2,0.730215925709344,0.628428613625001
2,0.676112676700577,0.148349878438748
2,0.474418030416127,0.594716868980322
2,0.915661599459127,0.727887994993944
2,0.929234277955256,0.887926601530053
2,0.8687218452245,0.102298153594602
2,0.00209794815862551,0.970786412351299
2,0.460507965635043,0.24343519879505
2,0.517566547673196,0.316455378592946
2,0.193941122575197,0.559698792083655
2,0.764918924183585,0.90338423605077
2,0.831798472832888,0.957550666877069
2,0.378787268539891,0.779070749785751
2,0.310372194831725,0.509337551314384
2,0.0448905177344568,0.200446798561607
2,0.550854469859041,0.791145932597574
2,0.775448317641858,0.306352847907692
2,0.407283068245742,0.757716757771559
2,0.266836386071518,0.712645921607036
2,0.297513905107044,0.645509815572295
2,0.172330398897175,0.332265282666776
2,0.0657222618162632,0.342687445683405
2,0.759255512112286,0.981782559771091
2,0.015705427408684,0.788737478412222
2,0.848725477522239,0.224236341279466
2,0.983962902294006,0.498873591918964
2,0.904301915892865,0.0187157788081095
2,0.0881232993444428,0.730323656753171
2,0.276880638543516,0.364488901980221
2,0.688411428895779,0.578289467764553
2,0.131783887555357,0.944207373859826
2,0.248299974955153,0.672391537129879
2,0.703597606972326,0.45654869064223
2,0.287570328742731,0.662339606243186
3,0.0737001041858457,0.788253379170783
3,0.302013595425524,0.336742913592607
3,0.290484247466084,0.938341127894819
3,0.365409271987155,0.646142323813401
3,0.412038438152522,0.276482051520143
3,0.0432391978870146,0.922625894551165
3,0.603406271520071,0.730036644467618
3,0.715871287689079,0.0179025208111852
3,0.517273936511483,0.352047796000261
3,0.660726804400328,0.634366837325506
3,0.972077527160291,0.53203279168345
3,0.461778736782726,0.268230087570846
3,0.147593150062021,0.149644858620595
3,0.37679580911994,0.525599141097628
3,0.053765516562853,0.670670158036519
3,0.569873440857045,0.759062724562828
3,0.0807996722310781,0.177315891634207
3,0.0304038266791031,0.346101082661189
3,0.589062341728713,0.578644361335318
3,0.0158932170900516,0.769694415621925
3,0.00834554030094296,0.501521693742834
3,0.550165090563241,0.778681399510242
3,0.63467410370009,0.154369809210766
3,0.740148392412811,0.861777062788606
3,0.96071624948876,0.0893323565367609
3,0.108289156937972,0.301190502077807
3,0.865508134320844,0.381725875306875
3,0.436531281608623,0.882799492394552
3,0.326097909279633,0.467443082670216
3,0.59580882875016,0.891241300881375
3,0.169633744824678,0.482444393788464
3,0.44949226854369,0.438510510833003
3,0.926529841541778,0.409328034205828
3,0.383941697450355,0.0514887365023605
3,0.110115526784211,0.0338571456703357
3,0.196200184696354,0.657032625454012
3,0.403581359097734,0.29146321447799
3,0.753922823388129,0.836578994283918
3,0.540136747797951,0.0403317890735343
3,0.720153733498882,0.828525246437639
3,0.125080361182336,0.511773900361732
3,0.801553132717963,0.617496825561393
3,0.671378501376603,0.704781720163301
3,0.61834252045257,0.603313433453441
